id,companie,tara,tip,dimensiune,decizie_maker_titlu,email_estimat,email_note,linkedin_url,de_ce_vagotech,prioritate
1,CFR Calatori,Romania,Operator feroviar,Mare,Director Tehnic / Sef Serviciu Achizitii,achizitii@cfrcalatori.ro,Format oficial publicat pe site,https://www.linkedin.com/company/cfr-calatori,"Operator national 800+ vagoane; modernizare masiva PNRR 2024-2026 (7 trenuri PESA EMU); inlocuire geamuri la reparatii capitale; achizitii prin SEAP/e-licitatie.ro",HIGH
2,STB SA - Societatea de Transport Bucuresti,Romania,Operator tramvai,Mare,Director Tehnic / Responsabil Achizitii Tehnice,contact@stb.ro,Format oficial,https://www.linkedin.com/company/stb-sa,"46 tramvaie noi + 100 troleibuze articulate (anuntat mai 2026); buget PMB 2026 peste 1 mld RON transport; geamuri si usi pentru tramvaie noi si modernizate",HIGH
3,Metrorex,Romania,Operator metrou,Mare,Director Tehnic / Director Achizitii,relatii.publice@metrorex.ro,Format oficial,https://www.linkedin.com/company/metrorex,"Tender activ 12 trenuri metro noi (~200 mil USD); linia M6 partial deschisa 2026; cerinta geamuri trenuri noi si modernizare IVA",HIGH
4,Electroputere VFU,Romania,OEM / Mentenanta,Mare,Director Tehnic Productie / Manager Aprovizionare,office@electroputerevfu.ro,Format oficial site,https://www.linkedin.com/company/electroputere-vfu,"Producator si modernizator vagoane/DMU/tramvaie la Pascani; conceptul R&R necesita furnizori geamuri certificate EN 15152/15153; clienti: CFR si operatori privati",HIGH
5,Softronic,Romania,OEM locomotive/EMU,Mediu,Director Aprovizionare / Manager Tehnic,softronic@softronic.ro,Confirmat public pe site oficial,https://www.linkedin.com/company/softronic,"Singurul producator SE Europa trenuri electrice multi-unit; Transmontana bi-sistem RO/BG/HU; necesita geamuri/parbrizuri certificate; export activ",HIGH
6,Astra Vagoane Calatori,Romania,OEM vagoane,Mediu,Director Tehnic / Responsabil Achizitii,office@astravagoane.ro,Format estimat domeniu,https://www.linkedin.com/company/astra-vagoane-calatori,"Producator vagoane calatori si tramvaie la Arad; contracte CFR si export; geamuri laterale si panouri interioare",MEDIUM
7,Transferoviar Grup (Regiotrans),Romania,Operator feroviar privat,Mediu,Director Operational / Fleet Manager,office@transferoviar.ro,Format estimat domeniu,https://www.linkedin.com/company/transferoviar-grup,"Operator privat cu flota proprie (locomotive Softronic LEMA); mentenanta proprie; achizitii componente pentru reparatii",MEDIUM
8,Grup Feroviar Roman (GFR / GRAMPET),Romania,Operator cargo / Mentenanta,Mare,Director Tehnic / Procurement Manager,office@gfr.ro,Format estimat domeniu,https://www.linkedin.com/company/grup-feroviar-roman,"Cel mai mare operator privat feroviar RO; flota 200+ locomotive; atelier mentenanta propriu GFR Services; geamuri cab locomotive si vagoane",MEDIUM
9,Calea Ferata din Moldova (CFM),Moldova,Operator feroviar national,Mare,Director Tehnic / Sef Serviciu Aprovizionare,cfm@cfm.md,Format estimat,https://www.linkedin.com/company/calea-ferata-moldova,"Plan achizitie 4000+ vagoane 2024-2026 (EUR 350-400 mil); 25-30 locomotive manevra; restructurare/privatizare 2026; geamuri parc renovat",HIGH
10,Moldtranselectro,Moldova,Mentenanta / servicii feroviare,Mic,Director Tehnic,contact@mte.md,Format estimat,N/A,"Mentenanta si reparatii material rulant in Moldova; proximitate geografica VAGOTECH (Timisoara)",LOW
11,Port Giurgiulesti GIFP,Moldova,Operator port / logistica feroviara,Mic,Manager Operational,office@gifp.md,Format estimat,https://www.linkedin.com/company/gifp,"Terminal multimodal cu linii feroviare proprii; vagoane specializate necesita mentenanta geamuri cab",LOW
12,Operatori privati marfa Moldova,Moldova,Operator cargo,Mic,Director Flota,N/A,N/A,N/A,"Segment emergent post-privatizare CFM; de urmarit 2026-2027",LOW
13,MAV-START Zrt.,Ungaria,Operator feroviar national,Mare,Muszaki Igazgato / Kozbeszerzesi Osztaly,info@mav-start.hu,Format oficial,https://www.linkedin.com/company/mav-start,"Guvern HU a aprobat feb 2026 achizitia 92 seturi EMU + 88 vagoane; tender activ 50 seturi EMU long-distance; cerinta masiva geamuri/parbrizuri",HIGH
14,BKK - Budapesti Kozlekedesi Kozpont,Ungaria,Operator transport urban,Mare,Muszaki Igazgato / Beszerzes Vezeto,info@bkk.hu,Format oficial,https://www.linkedin.com/company/bkk-zrt,"Autoritate transport Budapesta; coordoneaza achizitiile pentru BKV; flota tramvaie CAF Urbos si Alstom Citadis; geamuri modernizare si intretinere",HIGH
15,BKV Zrt.,Ungaria,Operator tramvai/metro,Mare,Beszerzes Manager / Muszaki Igazgato,bkv@bkv.hu,Format oficial,https://www.linkedin.com/company/bkv-zrt,"Opereaza metro M1-M4 si tramvaie Budapesta; metro M3 modernizat Alstom recent; flota tramvaie Tatra + CAF; mentenanta geamuri continua",HIGH
16,GySEV (Gyor-Sopron-Ebenfurti Vasut),Ungaria,Operator feroviar regional,Mediu,Muszaki Osztaly Vezeto,office@gysev.hu,Format oficial,https://www.linkedin.com/company/gysev,"Operator austro-ungar; flota EMU Stadler si vagoane; MAV preia personal si material rulant GySEV 2026; geamuri parc activ",MEDIUM
17,Dunakeszi Jarmukarbantarto Kft.,Ungaria,Mentenanta material rulant,Mare,Muszaki Igazgato / Beszerzes,office@dunjav.hu,Format estimat,https://www.linkedin.com/company/dunakeszi-jarmu,"Preluat de MAV ian 2026 dupa faliment; cel mai mare atelier mentenanta HU; achizitii masive componente inclusiv geamuri",HIGH
18,Magyar Vagon Zrt.,Ungaria,OEM vagoane,Mediu,Muszaki Igazgato / Procurement,info@magyarvagon.hu,Format estimat,https://www.linkedin.com/company/magyar-vagon,"Contract 1350 vagoane pentru Caile Ferate Egiptene; necesita geamuri certificate productie vagoane [ATENTIE: Ganz-Mavag Int fosta subsidiara in lichidare oct 2025]",MEDIUM
19,SZKT - Szegedi Kozlekedes,Ungaria,Operator tramvai regional,Mic,Director Tehnic,kozlekedes@szkt.hu,Format estimat,N/A,"Operator tramvai Szeged; flota Tatra + CAF Urbos; mentenanta geamuri tramvaie",LOW
20,DAKK - Delalfoldi Kozlekedes,Ungaria,Operator regional,Mic,Director Tehnic,info@dakk.hu,Format estimat,N/A,"Operator autobuz/tren regional sudul Ungariei; mentenanta flota",LOW
